Fid,SourcedFrom,FileTimeUtc,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,Label
172.217.9.226-10.42.0.211-443-50793-6,SinkHoleMessage,1.31E+17,49.124.199.90,54493,AS4818,204.95.99.109,88,Unknown,MY,12,Bandar Baru Bangi,2.9451,101.7735,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
140.205.172.65-10.42.0.211-443-57263-6,SinkHoleMessage,1.31E+17,14.1.200.148,51033,AS45960,204.95.99.31,333,Unknown,MY,12,Klang,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
172.217.9.238-10.42.0.42-443-56766-6,SinkHoleMessage,1.31E+17,175.140.228.221,52392,AS4788,204.95.99.109,86,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,lv||UsbV_AC65C2EC||HM-PC/Manager||MY||WIN_7 X86||4||Avira Desktop||INSPIRED,RECONNAISSANCE
10.42.0.151-31.13.80.12-55323-443-6,SinkHoleMessage,1.31E+17,210.195.214.177,59095,AS4788,204.95.99.31,1990,Unknown,MY,12,Shah Alam,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
203.205.158.61-10.42.0.42-80-53995-6,SinkHoleMessage,1.31E+17,61.6.56.17,51641,AS2042,204.95.99.31,105,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
183.79.250.123-10.42.0.211-443-60675-6,SinkHoleMessage,1.31E+17,203.106.159.161,12909,AS4788,204.95.99.109,88,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-10.42.0.1-22670-53-17,SinkHoleMessage,1.31E+17,115.134.20.215,60314,AS4788,204.95.99.109,1890,Unknown,MY,7,Ipoh,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.12.170-10.42.0.211-443-41874-6,SinkHoleMessage,1.31E+17,120.141.16.172,2015,AS38322,204.95.99.109,7777,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-10.42.0.1-56433-53-17,SinkHoleMessage,1.31E+17,175.143.111.248,3536,AS4788,204.95.99.130,1881,Unknown,MY,12,Petaling Jaya,3.0833,101.65,0,0,lv0njxq80Mtmrd_109DB7E50njxq80MRE-N080njxq80ronny0njxq800njxq80WIN_XP X86 SP30njxq800.4d0njxq80N0njxq80--,WORMS
10.42.0.151-31.13.71.3-32969-443-6,SinkHoleMessage,1.31E+17,14.1.200.16,52748,AS45960,204.95.99.109,81,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,"lv|'|'|IiIiIiIiIiIiIl8xMDZCNkU1Qg==|'|'|USER-PC|'|'|user|'|'|2014-02-14|'|'||'|'|Win 7 Ultimate SP0 x86|'|'|No|'|'|0.6.4|'|'|..|'|'|aVBpY2N5IC0gR29vZ2xlIENocm9tZQ==|'|'|f8c065f4e758233f0d12dc9b8cf7a2ce,2b3328e57676df442688f81f9824276a,5546459fd68bf16831797d2aa2e7d569,[endof]",WORMS
10.42.0.211-10.42.0.1-40368-53-17,SinkHoleMessage,1.31E+17,1.9.106.190,18545,AS4788,204.95.99.109,88,Unknown,MY,11,Kuching,1.55,110.3333,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-10.42.0.1-56662-53-17,SinkHoleMessage,1.31E+17,113.23.138.230,65491,AS38182,204.95.99.109,95,Unknown,MY,1,Segamat,2.5148,102.8158,0,0,lv||UsbV_F4C43029||COMPAQ/user||MY||WIN_7 X64||5||360,WORMS
221.204.60.34-10.42.0.42-80-37109-6,SinkHoleMessage,1.31E+17,203.106.150.5,4899,AS4788,204.95.99.100,4040,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,DDOS
172.217.3.110-10.42.0.151-443-45096-6,SinkHoleMessage,1.31E+17,1.9.102.113,7838,AS4788,204.95.99.31,105,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.42-40.117.100.83-44640-443-6,SinkHoleMessage,1.31E+17,60.54.30.15,24893,AS4788,204.95.99.26,1177,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-10.42.0.1-6203-53-17,SinkHoleMessage,1.31E+17,113.210.139.155,6785,AS9534,204.95.99.86,1644,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-10.42.0.1-37734-53-17,SinkHoleMessage,1.31E+17,219.92.172.87,53740,AS4788,204.95.99.109,88,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.211-14.29.93.254-40927-80-6,SinkHoleMessage,1.31E+17,180.74.41.141,51843,AS38322,204.95.99.109,88,Unknown,MY,5,Nilai,2.8033,101.7972,0,0,lv0njxq80w0rm 4_FEEA790C0njxq80ACER-PC0njxq80Acer0njxq800njxq80WIN_7 X64 SP00njxq800.4d0njxq80Y0njxq80--,WORMS
174.35.73.165-10.42.0.42-80-52433-6,SinkHoleMessage,1.31E+17,175.140.13.157,49920,AS4788,204.95.99.109,1604,Unknown,MY,12,Shah Alam,3.0833,101.5333,0,0,"lv|'|'|8J+RuSBEYXJrIPCfkblfNDhFRUI0MUM=|'|'|USER-PC|'|'|user|'|'|2014-05-16|'|'||'|'|Win 7 Home Premium SP1 x86|'|'|Yes|'|'|0.6.4|'|'|..|'|'|TWljcm9zb2Z0IEV4Y2VsIC0gQm9vazE=|'|'|2b3328e57676df442688f81f9824276a,[endof]",WORMS
216.58.217.163-10.42.0.211-443-58709-6,SinkHoleMessage,1.31E+17,175.138.105.166,65118,AS4788,204.95.99.86,1604,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-125.39.240.46-55521-80-6,SinkHoleMessage,1.31E+17,113.210.10.154,36826,AS9534,204.95.99.86,81,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.211-31.13.80.52-42526-443-6,SinkHoleMessage,1.31E+17,175.137.185.213,63600,AS4788,204.95.99.31,2288,Unknown,MY,12,Klang,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-10.42.0.1-31162-53-17,SinkHoleMessage,1.31E+17,203.106.79.100,23063,AS4788,204.95.99.109,88,Unknown,MY,9,Penang,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-106.11.92.6-52280-443-6,SinkHoleMessage,1.31E+17,180.74.199.148,55871,AS38322,204.95.99.31,288,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.151-10.42.0.1-16432-53-17,SinkHoleMessage,1.31E+17,14.1.200.138,50288,AS45960,204.95.99.109,88,Unknown,MY,12,Klang,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
157.240.18.15-10.42.0.211-443-57184-6,SinkHoleMessage,1.31E+17,113.210.139.57,43466,AS9534,204.95.99.109,7777,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /ready HTTP/1.1,DDOS
10.42.0.211-23.206.166.62-47749-80-6,SinkHoleMessage,1.31E+17,113.210.136.100,44908,AS9534,204.95.99.31,1921,Unknown,MY,12,Petaling Jaya,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.211-66.198.178.50-39721-443-6,SinkHoleMessage,1.31E+17,60.53.183.109,14765,AS4788,204.95.99.31,105,Unknown,MY,9,Ayer Itam,5.4,100.2833,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.151-72.21.206.121-52523-443-6,SinkHoleMessage,1.31E+17,202.185.114.222,11848,AS132688,204.95.99.31,6915,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-104.244.43.3-52773-443-6,SinkHoleMessage,1.31E+17,60.54.58.66,56292,AS4788,204.95.99.109,88,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
192.229.173.173-10.42.0.211-80-51970-6,SinkHoleMessage,1.31E+17,103.227.140.36,54922,AS132435,204.95.99.100,4040,Unknown,MY,12,Kajang,2.9927,101.7909,0,0,POST /is-ready HTTP/1.1,WORMS
205.185.216.42-10.42.0.42-80-58801-6,SinkHoleMessage,1.31E+17,60.50.78.203,59089,AS4788,204.95.99.109,81,Unknown,MY,13,Kuala Terengganu,5.3302,103.1408,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-69.147.82.61-36528-443-6,SinkHoleMessage,1.31E+17,210.195.214.111,55618,AS4788,204.95.99.109,102,Unknown,MY,12,Shah Alam,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,DDOS
202.77.129.161-10.42.0.211-80-48850-6,SinkHoleMessage,1.31E+17,112.137.166.36,18985,AS17971,204.95.99.31,288,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
172.217.9.238-10.42.0.151-443-33443-6,SinkHoleMessage,1.31E+17,175.139.119.223,58009,AS4788,204.95.99.32,3175,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,ADDNEW|Stable|5.6c|MY|Windows 7 x86|Idle...|3175|OLD,RECONNAISSANCE
10.42.0.211-98.139.183.24-43318-80-6,SinkHoleMessage,1.31E+17,183.171.160.100,6248,AS10030,204.95.99.109,88,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-14.17.42.57-55397-80-6,SinkHoleMessage,1.31E+17,121.122.166.19,25924,AS9534,204.95.99.31,288,Unknown,MY,12,Puchong,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.151-10.42.0.1-18972-53-17,SinkHoleMessage,1.31E+17,180.74.23.193,49337,AS38322,204.95.99.31,288,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
222.73.28.96-10.42.0.42-80-41339-6,SinkHoleMessage,1.31E+17,183.171.167.26,22878,AS10030,204.95.99.86,1644,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.151-72.21.207.79-52645-443-6,SinkHoleMessage,1.31E+17,203.106.158.244,18235,AS4788,204.95.99.31,1920,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,DDOS
172.217.6.206-10.42.0.151-443-50436-6,SinkHoleMessage,1.31E+17,61.4.124.34,49438,AS24321,204.95.99.109,333,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-31.13.80.8-56747-443-6,SinkHoleMessage,1.31E+17,60.52.47.149,53188,AS4788,204.95.99.109,1177,Unknown,MY,1,Johor Bahru,1.4655,103.7578,0,0,FLz0IaZKg8+Q51KaJghjeJkWGu17rgomdMI/twkeuH8dtd2nkzVRH5+lyGiT5SBv,DDOS
172.217.10.109-10.42.0.42-443-53369-6,SinkHoleMessage,1.31E+17,175.140.115.244,64912,AS4788,204.95.99.31,105,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.12.194-10.42.0.211-443-47724-6,SinkHoleMessage,1.31E+17,60.49.22.121,36886,AS4788,204.95.99.205,443,Unknown,MY,9,Penang,5.4112,100.3354,0,0,/www5/index.php,DDOS
10.42.0.211-64.71.142.124-41095-80-6,SinkHoleMessage,1.31E+17,175.145.123.193,61038,AS4788,204.95.99.109,1888,Unknown,MY,12,Shah Alam,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-10.42.0.1-23015-53-17,SinkHoleMessage,1.31E+17,202.188.87.126,58133,AS4788,204.95.99.109,7777,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /ready HTTP/1.1,WORMS
10.42.0.211-10.42.0.1-45283-53-17,SinkHoleMessage,1.31E+17,113.210.129.238,16112,AS9534,204.95.99.109,1122,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
172.217.10.228-10.42.0.42-443-44262-6,SinkHoleMessage,1.31E+17,183.171.164.234,20295,AS10030,204.95.99.86,1644,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
216.58.219.225-10.42.0.211-443-56873-6,SinkHoleMessage,1.31E+17,118.100.232.35,42246,AS4788,204.95.99.26,1188,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /ready HTTP/1.1,WORMS
222.73.28.96-10.42.0.211-80-36867-6,SinkHoleMessage,1.31E+17,113.210.7.204,36438,AS9534,204.95.99.31,1183,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.1-10.42.0.42-53-61109-17,SinkHoleMessage,1.31E+17,120.141.179.71,59159,AS38322,204.95.99.109,333,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
172.217.10.100-10.42.0.151-80-32809-6,SinkHoleMessage,1.31E+17,112.137.166.36,31496,AS17971,204.95.99.109,2211,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
169.47.5.237-10.42.0.211-443-52809-6,SinkHoleMessage,1.31E+17,175.137.147.249,17969,AS4788,204.95.99.86,991,Unknown,MY,7,Pusing,4.4941,101.0079,0,0,POST /is-ready HTTP/1.1,DDOS
10.42.0.211-10.42.0.1-21606-53-17,SinkHoleMessage,1.31E+17,60.48.88.25,65463,AS4788,204.95.99.86,991,Unknown,MY,7,Ipoh,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-123.125.29.138-40529-80-6,SinkHoleMessage,1.31E+17,175.138.147.197,57370,AS4788,204.95.99.86,991,Unknown,MY,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-66.231.239.124-34823-80-6,SinkHoleMessage,1.31E+17,175.138.81.201,64403,AS4788,204.95.99.86,991,Unknown,MY,12,Salak Selatan,3.1,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-123.125.115.164-42496-443-6,SinkHoleMessage,1.31E+17,113.210.130.119,29759,AS9534,204.95.99.109,88,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
219.147.93.205-10.42.0.211-443-48734-6,SinkHoleMessage,1.31E+17,175.140.29.167,59107,AS4788,204.95.99.109,7777,Unknown,MY,2,Gurun,5.8172,100.4738,0,0,POST /ready HTTP/1.1,WORMS
10.42.0.151-52.216.64.219-46083-443-6,SinkHoleMessage,1.31E+17,115.132.48.3,62116,AS4788,204.95.99.109,1604,Unknown,MY,7,Ipoh,4.5841,101.0829,0,0,"lv|'|'|8J+YiPCfmIggSGFjS2VkIPCfmIjwn5iIXzJFREEyMzMz|'|'|USER-PC|'|'|User|'|'|2014-05-04|'|'||'|'|Win 7 Starter SP0 x86|'|'|No|'|'|0.6.4|'|'|..|'|'|6a2U54245LiW55WM|'|'|2b3328e57676df442688f81f9824276a,f8c065f4e758233f0d12dc9b8cf7a2ce,[endof]",WORMS
172.217.10.106-10.42.0.151-443-56374-6,SinkHoleMessage,1.31E+17,60.48.177.230,52611,AS4788,204.95.99.86,1644,Unknown,MY,2,Sungai Petani,5.647,100.4877,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.151-10.42.0.1-41149-53-17,SinkHoleMessage,1.31E+17,175.144.116.77,57078,AS4788,204.95.99.31,288,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-111.1.17.152-48378-80-6,SinkHoleMessage,1.31E+17,211.25.233.186,38998,AS9930,204.95.99.66,1337,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,D573BA5A4EFFC3FB629308,RECONNAISSANCE
172.217.7.132-10.42.0.211-443-58095-6,SinkHoleMessage,1.31E+17,180.74.64.58,65207,AS38322,204.95.99.109,333,Unknown,MY,,,2.5,112.5,0,0,,DDOS
174.35.73.78-10.42.0.151-80-48369-6,SinkHoleMessage,1.31E+17,14.1.210.17,55723,AS45960,204.95.99.109,95,Unknown,MY,12,Kajang,2.9927,101.7909,0,0,lv||UsbV_30A1F697||USER-VVL9SFI8PJ/Administrator||MY||WIN_7 X64||5||,WORMS
10.42.0.211-10.42.0.1-24508-53-17,SinkHoleMessage,1.31E+17,60.49.90.143,23497,AS4788,204.95.99.109,102,Unknown,MY,1,Johor Bahru,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
10.42.0.211-123.125.115.164-59540-443-6,SinkHoleMessage,1.31E+17,175.137.3.7,58644,AS4788,204.95.99.86,1644,Unknown,MY,12,Puchong,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,RECONNAISSANCE
202.77.129.54-10.42.0.151-80-41955-6,SinkHoleMessage,1.31E+17,124.82.57.6,53323,AS4788,204.95.99.109,7777,Unknown,MY,7,Ipoh,4.5841,101.0829,0,0,POST /ready HTTP/1.1,RECONNAISSANCE
10.42.0.42-103.7.30.118-34287-80-6,SinkHoleMessage,1.31E+17,110.159.96.112,62675,AS4788,204.95.99.86,4442,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-66.231.239.122-41602-80-6,SinkHoleMessage,1.31E+17,1.9.102.27,9752,AS4788,204.95.99.31,1920,Unknown,MY,4,Melaka,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,WORMS
10.42.0.211-104.192.110.245-38035-80-6,SinkHoleMessage,1.31E+17,60.52.70.105,56241,AS4788,204.95.99.109,333,Unknown,MY,1,Johor Bahru,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,WORMS
151.101.21.140-10.42.0.211-443-45853-6,SinkHoleMessage,1.31E+17,112.137.166.39,53080,AS17971,204.95.99.86,1644,Unknown,MY,14,Kuala Lumpur,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,DDOS
